title,summary,duration
Information Systems Business Analysis (with experiential learning capstone) (Postgraduate) (T405),"The rapid growth in the deployment of and enhancements to information technology solutions in business settings over the past 10 years has thrust the business analyst/information technology (IT) consultant into an increasingly prominent role throughout many sectors, including government, finance, health care and telecommunications. A crucial role in the software/system development life cycle, the business analyst gathers business requirements from various areas in the organization, and translates them into functional system design specifications that can be successfully executed by IT development teams. The role of the business analyst or information technology consultant is often critical to increasing project success rates.",Duration:1 year (3 semesters)
Mobile Application Development and Strategy (Postgraduate) (T440),"This one-year program teaches students a wide variety of skills related to developing, testing and deploying apps for iOS and Android mobile phones and tablets.",Duration:1 year (3 semesters)
Wireless Networking (Postgraduate) (T411),"Wireless communications are pervasive in our lives. They have grown in recent years to include everything from personal communications networks to governments, hospitals and neighbourhood businesses. And there’s no end in sight to the growth of our wireless world. George Brown’s leading-edge Wireless Networking postgraduate program is designed to put you at the centre of this exciting world by giving you high-demand skills in radio frequency (RF), cellular, broadband and advanced data communications.",Duration:1 year (3 semesters)
Art and Design Foundation (G108),"Art and Design Foundation is a one-year certificate program that will provide you with a broad base of expert knowledge and technical skills in the field of art and design. This program is designed for students who want to explore a variety of art and design disciplines, to develop their portfolio for further study or for those who wish to enjoy learning creative skills in a studio-based environment.",Duration:1 year (2 semester)
Concept Art for Entertainment (Postgraduate) (G407),"Concept art is the most crucial stage in conceptualizing and driving the production process of video, games and film. Through a rigorous program of study, the 12-month graduate certificate in Concept Art for Entertainment at George Brown College in Toronto will expand artists’ techniques and creativity, to transform written ideas into visual experiences.",Duration:1 year (3 semesters)
Design Management (Postgraduate) (G401),The postgraduate Design Management program prepares you for a career managing design strategically. This program builds the skills needed to lead a multidisciplinary design team to develop products and services based on strategic business objectives. The program also teaches the business skills necessary to manage a consultancy or corporate design division.,Duration:1 year (2 semesters)
Digital Design – Game Design (Postgraduate) (G405),Video games have become one of the leading forms of artistic expression in the twenty-first century. The Digital Design – Game Design one-year graduate certificate is a rigorous program of study that focuses on the principles and techniques of video game design and production required to break into the industry.,Duration:1 year (3 semesters)
Game – Art (G119),"Video games have become one of the leading forms of artistic expression in the twenty-first century. Game art requires a combination of talents, hard work and passion. The Game – Art three-year advanced diploma is a rigorous program of study that focuses on the principles and techniques of video game art creation required to break into the industry.PLEASE NOTE: This program is also offered in a fully online format. Please see Game - Art (Online) program (G129) for more details.",Duration:3 years (6 semesters)
Graphic Design (G102),"The Graphic Design program is an ideal training ground for the design profession. As a student in the program, you will gain a strong overall understanding of design while also allowing you to select a major in either Communication Design, which prepares you for a corporate design career, or Advertising Design, which prepares you for a career in an advertising agency. In addition, design electives allow you to gain skills in areas such as illustration, motion, interaction, web, book and environmental design.",Duration:3 years (6 semesters)
Honours Bachelor of Brand Design (G304),"The Honours Bachelor of Brand Design is a four-year degree that produces designers with strengths in collaboration, research, critical and strategic thinking, technical design execution and brand storytelling.",Duration:4 years (8 semesters) plus 1 Co-op Work Term
Honours Bachelor of Brand Design Bridge (G305),"The Honours Bachelor of Brand Design Bridge program is available for graduates, second-year, and third-year students of the advanced diploma in Graphic Design (G102) program to transfer into the Honours Bachelor of Brand Design degree program. This degree program produces designers with strengths in collaboration, research, critical and strategic thinking, technical design execution and brand storytelling.To apply, please review the application process and guidelines information.",Duration:5 semesters plus 1 Co-op Work Term
Honours Bachelor of Digital Experience Design (G301),"The Honours Bachelor of Digital Experience Design is a four-year degree that produces designers who can solve problems using human-centred, socially conscious and economically viable digital solutions.",Duration:4 years (8 semesters) plus 1 Co-op Work Term
Honours Bachelor of Digital Experience Design Year 3 Bridge (G302),"The Honours Bachelor of Digital Experience Design is a four-year degree that produces designers who can solve problems using human-centred, socially conscious and economically viable digital solutions.",Duration:5 semesters plus 1 co-op work term
Interaction Design (G113),"Interaction Design is an interdisciplinary field merging design skills such as user experience, interface development and graphic design with coding fundamentals to create meaningful experiences between the user and digital platforms such as social media, websites, wearables and mobile devices.",Duration:3 years
Interactive Media Management (Postgraduate) (G412),"The Interactive Media Management program responds to a growing need within the design industry for a new skill set – one that crosses the traditional disciplinary boundaries of advertising, industrial, graphic and new media design.",Duration:1 year (3 semesters)
Interdisciplinary Design Strategy (Postgraduate) at the Institute Without Boundaries (G414),"Each September, a small group of students begins a nine-month program in Interdisciplinary Design Strategy at the Institute without Boundaries, where they work as a team to research, design and realize a real-world project.",Duration:9 months
Web Development – Front-End Design (Postgraduate) (G418),"Front-End Design focuses on human-centred design to produce high-impact websites and apps. George Brown College's Web Development – Front-End Design program prepares learners with skills in both application and interface development to deliver solutions that meet industry-standards for effective code engineering and responsible design, going beyond traditional websites.",Duration:1 year (3 semesters)
Mechanical Technician – CNC and Precision Machining (T173),"This Mechanical Technician program integrates precision machining methods with advanced computer-controlled machine technology (CNC) in state-of-the-art Precision Machining, CAD/CAM, CNC, Research and Robotics Labs. Students design and manufacture tools, jigs, fixtures, precision fabrication assemblies and prototypes using computer-aided design/computer-aided manufacturing software, precision machining equipment and sophisticated CNC machine tool technology. In their final year, students augment their learning by engaging in a 15-week co-op placement with industry partners.",Duration:2 years (4 semesters and 1 co-op term)
Electromechanical Engineering Technology - Power and Control (T182),"Gain expertise in advanced Power and Control systems. Our program was developed in collaboration with Toronto Hydro.Electromechanical Engineering Technology – Power and Control is designed to provide students with both theoretical and practical experience, enabling them to work in a wide variety of electrical engineering areas including power and control systems, utilities, industrial automation and robotics, instrumentation and process control. The curriculum incorporates theory, applications, practical experience and safety practices from power systems, utilities, manufacturing, control system, automation and computer industries, along with concepts from the sciences and humanities to ensure the graduate is equipped with technical knowledge, skills and practice.",Duration:3 years (6 semesters)
Office Administration – Health Services (S135),"The Office Administration – Health Services program gives you the opportunity to develop the specialized skills you need to work in a variety of health care settings. These include relevant technological skills like computer applications and specialized software, medical terminology, clinical and office procedures, effective oral and written communication skills and soft skills such as interpersonal skills, teamwork and customer service.",Duration:2 years (4 semesters)
